Response ID,Select which type of data to enter:,Outreach team member:,Date of contact:,Stakeholder's name and title:,Method of interaction:,Stakeholder type:,"Other, please specify::Stakeholder type:",Outreach team member:,Name of event or distribution:,Date of event or distribution:,Event or distribution type:,Other (please specify)::Event or distribution type:,"Army/DoD partners (includes CMA, AASC, Depot commanders):Number of participants:",Citizens' Advisory Commission members:Number of participants:,Congress and congressional staffers:Number of participants:,"Emergency Management (e.g. CSEPP, FEMA, etc.):Number of participants:",International community members:Number of participants:,Local community members:Number of participants:,Local elected officials:Number of participants:,Media:Number of participants:,Oversight agency members:Number of participants:,PEO ACWA Workforce members:Number of participants:,Regulatory agency members:Number of participants:,Other:Number of participants:,Date range of posting(s):,Facebook posts:Number of social media posting(s):,Tweets:Number of social media posting(s):,Instagram posts:Number of social media posting(s):,HQ Video:Number of social media posting(s):,Digital shorts:Number of social media posting(s):,"Digital communications (Flickr, Website updates and YouTube Uploads):Number of social media posting(s):",Name of video (if applicable):
188,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,3/23/17,,,,,1,,ACWA Snapshot: Public Involvement Helps Shape U.S. Chemical Weapons Destruction Program
189,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,03/01/2017 - 03/31/2017,,,,,,5,YouTube uploads
190,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,3/7/17,,,,,,1,Destruction Graphic
191,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,3/14/17,,,,,,1,Destruction Graphic
192,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,3/21/17,,,,,,1,Destruction Graphic
193,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,3/28/17,,,,,,1,Destruction Graphic
194,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,3/30/17,,,,,,1,Website Article: Technicians Test Blue Grass Rocket Shear Machine
195,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,3/22/17,,,,,,1,Website Article: Blue Grass Processing Equipment Makes First Move
196,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,3/22/17,,,,,,1,Website Article: Blue Grass Technicians Calibrate Plant Instrumentation
197,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,3/17/17,,,,,,1,"Website Article: Program Leader Bids Bluegrass Farewell, Offers Advice for Future"
198,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,3/14/17,,,,,,1,Website Article: Blue Grass Management Provides Schedule Update
199,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,3/14/17,,,,,,1,"Website Article: Blue Grass Team Looks to Sister Site, Toward Operations"
200,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,3/30/17,,,,,,1,Website Article: Program Leader Offers Words of Gratitude to Pueblo Community
201,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,3/24/17,,,,,,1,Website Article: Pin Campaign Encourages Use of Workplace Values
202,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,3/6/17,,,,,,1,Website Article: Ordnance Technician Laid Foundation for Current Job
203,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,3/31/17,,,,,,1,March Constant Contact (Pueblo)
204,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,3/31/17,,,,,,1,March Constant Contact (Blue Grass)
205,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,3/31/17,,,,,,1,March Web Update (Pueblo)
206,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,3/31/17,,,,,,1,March Web Update (Blue Grass)
207,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,2/28/17,,,,,,1,February Web Update (Blue Grass)
208,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,2/28/17,,,,,,1,February Web Update (Pueblo)
209,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,03/01/2017 - 03/31/2017,69,115,56,,,,
210,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,4/5/17,Public interaction report,,32,,,,,,,,,18,,,,,,,,,,
211,Event or information distribution,PEO/Management,4/3/17,,,,,PEO/Management,OPCW Executive Council Visit,4/3/17,Other (please specify):,OPCW EC Visit to BGCAPP,,,,,48,,,,,,,,,,,,,,,
212,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,3/10/17,,,,,1,,ACWA Video for OPCW Anniversary Film
213,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,4/12/17,Public interaction report,,32,,,,,,,,,18,,,,,,,,,,
214,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,4/19/17,Public interaction report,,35,,,4,,,,,,18,,,,,,,,,,
215,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,4/5/17,,,,,,1,Destruction Graphic
216,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,4/12/17,,,,,,1,Destruction Graphic
217,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,4/19/17,,,,,,1,Destruction Graphic
218,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,4/26/17,,,,,,1,Destruction Graphic
219,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,4/28/17,,,,,,1,April Constant Contact (Blue Grass)
220,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,4/28/17,,,,,,1,April Constant Contact (Pueblo)
221,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,4/18/17,,,,,,1,"Website Article: Blue Grass, Partner Organizations Host International Ambassadors"
222,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,4/13/17,,,,,,1,Website Article: Blue Grass Explosive Destruction Technology Receives Safety Approval
223,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,4/21/17,,,,,,1,Bioreactor Seedings Begins at Pueblo Plant
224,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,4/15/17,,,,,,1,Website Article: Secondary Containment System Liner Replaced at Pueblo Plant
225,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,4/24/17,,,,,1,,Whyne Retirement video compilation
226,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,4/21/17,,,,,1,,Conrad Whyne Farewell- Colorado
227,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,4/21/17,,,,,1,,Conrad Whyne Farewell- Kentucky
228,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,4/26/17,Public interaction report,,35,,,4,,,,,,18,,,,,,,,,,
229,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,4/26/17,,,,,,1,Website Article Leader of Chemical Weapons Destruction Program Retires
230,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,4/21/17,,,,,1,,Mr. Whyne Retirement Compilation
231,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,4/27/17,,,,,1,,Conrad Whyne Retires as ACWA Program Executive Officer
232,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,04/01/2017- 04/30/2017,,,,,,5,YouTube uploads
234,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,5/1/17,,,,1,,,U.S. Chemical Weapons Destruction in Motion 2017
236,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,4/5/17,Public interaction report,,35,,,4,,,,,,18,,,,,,,,,,
237,Event or information distribution,,,,,,,Team Member 3,News Article: Leader of Chemical Weapons Destruction Program Retires,4/26/17,News article,,,,,,,,,,,,,0,,,,,,,,
238,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,04/01/2017-04/30/2017,56,97,45,,,,
239,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,4/27/17,,,,,1,,Pueblo Plant Operations Underway _研 April 2017
240,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,4/27/17,,,,,1,,Blue Grass Plant Systemization Underway _研  April 2017
241,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,04/17/2016 - 04/27/2016,2,,,,,,
242,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,5/3/17,Public interaction report,,35,,,4,,,,,,17,,,,,,,,,,
244,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,05/10/0017,,,,,1,,Memorial Day GIF
245,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,05/08/0017,1,,,,,,Mother's Day Graphic
246,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,5/10/17,Public interaction report,,35,,,4,,,,,,17,,,,,,,,,,
247,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,5/17/17,Public interaction report,,35,,,4,,,,,,17,,,,,,,,,,
249,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,5/24/17,Public interaction report,,35,,,4,,,,,,17,,,,,,,,,,
250,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,5/31/17,Public interaction report,,35,,,4,,,,,,17,,,,,,,,,,
251,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,05/26/0017,,,,,1,,Pueblo Plant Operations Underway May 2017 Slideshow Video
252,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,05/01/2017- 05/31/2017,,,,,,6,May YouTube Uploads
253,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,05/01/2017 - 05/31/2017,74,113,47,,,4,
254,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,5/9/17,,,,,,1,Website Article: Blue Grass Team Begins Pilot-Test Plan
255,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,5/23/17,,,,,,1,Website Article: Portable Purifier Cleans Blue Grass Plant Process Water
256,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,5/23/17,,,,,,1,Website Article: Blue Grass Conducts First Caustic Leak Drill
257,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,5/3/17,,,,,,1,Website Article: Wastewater Introduced into Pueblo Plant Biotreatment System
258,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,5/2/17,,,,,,1,Website Article: Pueblo Plant Considers Off-Site Shipment of Wastewater
259,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,5/11/17,,,,,,1,Website Article: Neutralization Effective in Destroying Chemical Agent
260,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,5/24/17,,,,,,1,Website Article: Pueblo Plant Successfully Treating Hydrolysate
261,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,6/1/17,,,,,,1,Website Article: Pueblo Plant Water Recovery System Proving Effective
262,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,5/23/17,,,,,,1,Destruction Graphic
263,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,5/16/17,,,,,,1,Destruction Graphic
264,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,5/3/17,,,,,,1,Destruction Graphic
265,Event or information distribution,,,,,,,Team Member 3,APG Armed Forces Day,5/17/17,Other (please specify):,Information Booth,35,,,,,25,,,,,,,,,,,,,,
266,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,05/31/0017,,,,,1,,BGCAPP Monthly Slideshow
267,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,5/3/17,,,,,1,,ACWA Snapshot: Blue Grass Plant Medical Staff Stays Prepared
268,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,6/7/17,Public interaction report,,36,,,4,,,,,,17,,,,,,,,,,
269,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,5/3/17,1,1,,,,,
270,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,5/30/17,1,1,1,,,,
271,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,06/13/0017,,,,,1,,ACWA Then and Now Video Short
272,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,6/14/17,Public interaction report,,34,,,4,,,,,,17,,,,,,,,,,
275,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,6/28/17,,,,1,,,Temporary Off-site Shipment of Hydrolysate from Colorado Plant
276,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,06/29/17-06/30/17,,,,,3,,"Social Media Day 2017, PCAPP Operations Underway June 2017, BGCAPP Systemization Underway June 2017"
277,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,6/19/17,,,,,,1,Website Article: New Program Executive Officer Announced for Assembled Chemical Weapons Alternatives Program
278,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,6/6/17,,,,,,1,Website Article: Scientists Visit Blue Grass Plant
279,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,6/8/17,,,,,,1,Website Article: First Blue Grass Plant Agent System Turned Over to Operations
280,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,6/14/17,,,,,,1,Website Article: Blue Grass Plant Holds First Public Auction of Excess Items
281,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,6/22/17,,,,,,1,Website Article: Blue Grass Lab Tests Rule Out Chemical Interference
282,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,6/23/17,,,,,,1,Website Article: Blue Grass Plant Leader Outlines Systemization Focus
283,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,6/27/17,,,,,,1,Website Article: Personnel Prepare for Blue Grass Filter Bank Detector Test
284,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,6/29/17,,,,,,1,Website Article: Blue Grass Plant Submits Request to Sample Munitions
285,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,6/21/17,,,,,,1,Website Article: Salt Cake Shipment Signifies Complete Plant Cycle
286,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,6/21/17,,,,,,1,Website Article: Strict Guidelines for Pueblo Plant Secondary Wastes Provide Safety
287,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,6/22/17,,,,,,1,Website Article: Colorado Plant Achieves Munition Processing Milestone
288,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,6/30/17,,,,,,1,June Monthly Website Update
289,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,6/28/17,,,,,,1,Website Destruction Graphic
290,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,6/20/17,,,,,,1,Website Destruction Graphic
291,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,6/15/17,,,,,,1,Website Destruction Graphic
292,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,6/6/17,,,,,,1,Website Destruction Graphic
293,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,6/26/17,,,,,,1,New PEO Website Updates
294,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,6/21/17,Public interaction report,,34,,,4,,,,,,17,,,,,,,,,,
295,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,6/28/17,Public interaction report,,34,,,4,,,,,,17,,,,,,,,,,
296,Event or information distribution,,,,,,,Team Member 4,2017 CBRN Exhibition,6/26/17,Other (please specify):,Information Booth,50,,,,,,,,,,,25,,,,,,,,
297,Event or information distribution,,,,,,,Team Member 4,Military Appreciation Night @ Ripken Stadium,6/30/17,Other (please specify):,Information Booth,15,,,,,40,,,,,,,,,,,,,,
298,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,6/1/2017- 6/30/2017,,,,,,7,June YouTube uploads
299,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,6/26/17,,,,,1,,ACWA Snapshot:Temporary Off-site Shipment of Hydrolysate from Colorado Plant
300,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,06/01/2017-06/30/2017,70,104,44,,,,
302,Event or information distribution,,,,,,,Team Member 3,ACWA Public Interaction Report,7/5/17,Public interaction report,,34,,,,,,,,,17,,,,,,,,,,
303,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,7/12/17,Public interaction report,,34,,,,,,,,,17,,,,,,,,,,
304,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,7/19/17,Public interaction report,,34,,,,,,,,,17,,,,,,,,,,
305,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,7/26/17,Public interaction report,,34,,,,,,,,,17,,,,,,,,,,
306,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,07/28/0017,,,,,1,,BGCAPP July Monthly Slideshow
307,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,07/31/0017,,,,,1,,PCAPP July Monthly Slideshow
308,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,07/01/2017 - 07/31/2016,,,,,,4,July YouTube Uploads
309,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,8/2/17,Public interaction report,,34,,,,,,,,,17,,,,,,,,,,
310,Event or information distribution,,,,,,,Team Member 2,Briefing to CSEPP Public Affairs IPT,8/2/17,Other (please specify):,Briefing on ACWA Public Affairs Planning,,,,25,,,,,,,,,,,,,,,,
311,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,7/14/17,,,,,,1,Website Article: Blue Grass Plant to Hold Environmental Permitting Meeting July 20
312,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,7/17/17,,,,,,1,Website Article: Blue Grass Emergency Response Teams Train for High-Angle Rescues
313,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,7/28/17,,,,,,1,Website Article: Engineers Design Munitions-Monitoring Equipment
314,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,7/20/17,,,,,,1,Website Article: Pueblo Technicians Streamline Air Monitoring
315,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,7/21/17,,,,,,1,Website Article: Program Executive Officer Visits Pueblo Plant
316,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,7/28/17,,,,,,1,Website Article: Washout System Tested for Optimal Performance
317,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,8/1/17,,,,,,1,Website Article: Temporary Off-Site Shipment of Wastewater Begins
318,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,8/2/17,,,,,,1,Destruction Graphic
319,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,7/25/17,,,,,,1,Destruction Graphic
320,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,7/19/17,,,,,,1,Destruction Graphic
321,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,7/11/17,,,,,,1,Destruction Graphic
322,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,7/5/17,,,,,,1,Destruction Graphic
323,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,7/31/17,,,,,,1,Pueblo eNewsletter
324,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,7/31/17,,,,,,1,Blue Grass eNewsletter
325,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,07/01/2017 - 07/31/2017,57,81,37,,,,
326,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,7/5/17,,,,,1,,ACWA Snapshot: Pueblo Plant Safely Disposes of Secondary Waste
328,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,8/9/17,Public interaction report,,34,,,,,,,,,17,,,,,,,,,,
330,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,8/16/17,Public interaction report,,34,,,,,,,,,17,,,,,,,,,,
331,Event or information distribution,,,,,,,PEO/Management,PEO Stakeholder Conference Call,8/15/17,Other (please specify):,Call to Discuss Brainstorming Initiative,3,3,,,,,,,,3,2,,,,,,,,,
332,Individual contact,Team Member 3,7/26/17,"Name, Title",Digital communication,Local community member,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Event or information distribution,,,,,,,Team Member 4,ACWA Public Interaction Report,8/23/17,Public interaction report,,34,,,,,,,,,17,,,,,,,,,,
334,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,8/16/17,,,,,,1,Website Article: New Program Leader Visits Blue Grass Plant
335,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,8/18/17,,,,,,1,Website Article: Blue Grass Holds GB Sampling Public Meeting
336,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,8/18/17,,,,,,1,Website Article: Blue Grass to Use Custom Device for Agent Sampling
337,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,8/23/17,,,,,,1,Website Article: Conveyor System Turned Over to Operations
338,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,8/1/17,,,,,,1,Website Article: Temporary Off-Site Shipment of Wastewater Begins
339,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,8/11/17,,,,,,1,Website Article: First Off-Site Shipment of Wastewater Successful
340,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,8/18/17,,,,,,1,Website Article: Static Detonation Chamber Deflagrates Energetics
341,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,8/23/17,,,,,,1,Website Article: Mask Testing Ensures Maximum Workforce Protection
342,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,8/2/17,,,,,,1,Website Destruction Graphic
343,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,8/10/17,,,,,,1,Website Destruction Graphic
344,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,8/16/17,,,,,,1,Website Destruction Graphic
345,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,8/23/17,,,,,,1,Website Destruction Graphic
346,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,8/30/17,,,,,,1,Website Article: Proper Mask Fit Protects Workers from Hazards
347,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,08/01/2017 - 08/31/2017,63,76,47,,,,
348,Event or information distribution,,,,,,,Team Member 3,ACWA Public Interaction Report,8/30/17,Public interaction report,,34,,,,,,,,,17,,,,,,,,,,
350,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,8/31/17,,,,,1,,Pueblo Plant Operations Underway August 2017
351,Event or information distribution,,,,,,,Team Member 4,2017 NDIA Conference,8/14/17,PEO ACWA information booth,,20,,2,,,,,,,,,50,,,,,,,,
352,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,8/25/17,,,,,1,,Blue Grass Monthly Slideshow
353,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,9/6/17,Public interaction report,,34,,,,,,,,,17,,,,,,,,,,
356,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,9/6/17,,,,,,1,"HQ Article: Mission to Eliminate 2,613 Tons of Agent [Infographic]"
357,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,9/7/17,,,,1,,,PCAPP One Year of Operations Anniversary
358,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,9/13/17,Public interaction report,,34,,,,,,,,,17,,,,,,,,,,
359,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,9/20/17,Public interaction report,,34,,,,,,,,,17,,,,,,,,,,
360,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,9/29/17,,,,,1,,Hydrolysate Tank GIF Loop
361,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,9/25/17,,,,,1,,ACWA Snapshot: Safety Suits Protect Colorado Plant Workforce During Operations
362,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,9/25/17,,,,,1,,Blue Grass Plant Systemization Underway _研September 2017
364,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,9/20/17,,,,,1,,ACWA Snapshot: Lab Prepares for Air Monitoring During Blue Grass Plant Operations
365,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,08/01/2017-08/31/2017,,,,,,2,August YouTube Uploads
371,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,9/27/17,Public interaction report,,34,,,,,,,,,17,,,,,,,,,,
372,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,9/29/17,,,,,,1,Avondale Meeting - Emissions Text Response (Motion Graphics Video)
373,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,09/29/0017,,,,,1,,PCAPP September Slideshow
374,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,9/11/17,,,,,,1,Website Article: Air-Handling System Passes Test
375,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,9/20/17,,,,,,1,Website Article: New Program Leader Meets Kentucky Community
376,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,9/20/17,,,,,,1,Website Article: Team Demonstrates Agent Neutralization System
377,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,9/26/17,,,,,,1,Website Article: Plant Enhancements Prompt Permitting Updates
378,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,9/27/17,,,,,,1,Website Article: Partners Participate in Emergency Preparedness Exercise
379,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,9/1/17,,,,,,1,Website Article: Core Principle Extends Beyond Pueblo Worksite
380,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,9/7/17,,,,,,1,"Website Article: Mission to Eliminate 2,613 Tons of Agent"
381,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,9/8/17,,,,,,1,Website Article: Pueblo Plant Completes First Year of Pilot Testing
382,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,9/14/17,,,,,,1,Website Article: Fair Teaches Safety through Interactive Learning
383,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,9/14/17,,,,,,1,Website Article: Off-Site Shipment of Wastewater Complete
384,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,9/27/17,,,,,,1,Website Article: Redesigned Air Pack Protects Workforce
385,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,9/29/17,,,,,,1,September Monthly Website Update - Blue Grass
386,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,9/29/17,,,,,,1,September Monthly Website Update - Pueblo
388,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,09/01/2017 - 09/30/2017,60,94,44,,,,
389,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,09/01/2017-09/30/177,,,,,,7,September YouTube Uploads